frame,timestamp,mission_phase,active_zones,overall_health,mean_scout_speed,max_scout_speed,mean_node_speed,manual_mode,bias_x,bias_y,altitude
95,34.025,EXPLORE,8,1.000,0.601,0.601,0.601,0,0.00,0.00,3.00
96,34.239,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
97,34.457,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
98,34.664,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
99,34.874,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
100,35.087,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
101,35.296,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
102,35.506,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
103,35.721,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
104,35.976,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
105,36.409,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
106,36.783,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
107,37.155,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
108,37.495,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
109,37.799,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
110,38.159,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
111,38.494,EXPLORE,8,1.000,0.600,0.600,0.601,0,0.00,0.00,3.00
112,38.709,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
113,38.928,EXPLORE,8,1.000,0.600,0.600,0.601,0,0.00,0.00,3.00
114,39.142,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
115,39.362,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
116,39.578,EXPLORE,8,1.000,0.600,0.601,0.599,0,0.00,0.00,3.00
117,39.792,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
118,40.007,EXPLORE,8,1.000,0.600,0.601,0.601,0,0.00,0.00,3.00
119,40.220,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
120,40.438,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
121,40.666,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
122,40.890,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
123,41.115,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
124,41.329,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
125,41.543,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
126,41.756,EXPLORE,8,1.000,0.600,0.601,0.599,0,0.00,0.00,3.00
127,41.987,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
128,42.224,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
129,42.440,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
130,42.653,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
131,42.868,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
132,43.082,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
133,43.294,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
134,43.505,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
135,43.717,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
136,43.970,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
137,44.221,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
138,44.443,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
139,44.750,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
140,45.179,EXPLORE,8,1.000,0.600,0.601,0.599,0,0.00,0.00,3.00
141,45.494,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
142,45.871,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
143,46.066,EXPLORE,8,1.000,0.600,0.601,0.599,0,0.00,0.00,3.00
144,46.277,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
145,46.492,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
146,46.707,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
147,46.920,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
148,47.162,EXPLORE,8,1.000,0.600,0.601,0.601,0,0.00,0.00,3.00
149,47.399,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
150,47.630,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
151,47.863,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
152,48.077,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
153,48.291,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
154,48.507,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
155,48.726,EXPLORE,8,1.000,0.600,0.601,0.601,0,0.00,0.00,3.00
156,48.941,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
157,49.162,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
158,49.376,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
159,49.590,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
160,49.803,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
