frame,tier,agent_idx,x,y,z
11,general,0,0.0000,0.0000,5.0000
11,nodes,0,-4.9344,-4.9308,3.0000
11,nodes,1,4.9342,-4.9307,3.0000
11,nodes,2,-5.0658,4.9308,3.0000
11,nodes,3,5.0659,4.9308,3.0000
11,scouts,0,-3.3248,-4.9102,3.0000
11,scouts,1,-4.8869,-3.3409,3.0000
11,scouts,2,-6.4726,-4.8290,3.0000
11,scouts,3,-4.8604,-6.4123,3.0000
11,scouts,4,6.4726,-4.8290,3.0000
11,scouts,5,4.8869,-3.3409,3.0000
11,scouts,6,3.3248,-4.9102,3.0000
11,scouts,7,4.8604,-6.4123,3.0000
11,scouts,8,-3.5274,4.8290,3.0000
11,scouts,9,-5.1396,6.4123,3.0000
11,scouts,10,-6.6752,4.9102,3.0000
11,scouts,11,-5.1131,3.3409,3.0000
11,scouts,12,6.6752,4.9102,3.0000
11,scouts,13,5.1396,6.4123,3.0000
11,scouts,14,3.5274,4.8290,3.0000
11,scouts,15,5.1131,3.3409,3.0000
11,workers,0,-3.0000,-5.0000,3.0000
11,workers,1,7.0000,-5.0000,3.0000
11,workers,2,-3.0000,5.0000,3.0000
11,workers,3,7.0000,5.0000,3.0000
12,general,0,0.0000,0.0000,5.0000
12,nodes,0,-4.9275,-4.9232,3.0000
12,nodes,1,4.9272,-4.9233,3.0000
12,nodes,2,-5.0728,4.9234,3.0000
12,nodes,3,5.0729,4.9234,3.0000
12,scouts,0,-3.3027,-4.8989,3.0000
12,scouts,1,-4.8726,-3.3208,3.0000
12,scouts,2,-6.4691,-4.8073,3.0000
12,scouts,3,-4.8427,-6.4011,3.0000
12,scouts,4,6.4691,-4.8073,3.0000
12,scouts,5,4.8726,-3.3208,3.0000
12,scouts,6,3.3027,-4.8989,3.0000
12,scouts,7,4.8427,-6.4011,3.0000
12,scouts,8,-3.5309,4.8073,3.0000
12,scouts,9,-5.1573,6.4011,3.0000
12,scouts,10,-6.6973,4.8989,3.0000
12,scouts,11,-5.1274,3.3208,3.0000
12,scouts,12,6.6973,4.8989,3.0000
12,scouts,13,5.1573,6.4011,3.0000
12,scouts,14,3.5309,4.8073,3.0000
12,scouts,15,5.1274,3.3208,3.0000
12,workers,0,-3.0000,-5.0000,3.0000
12,workers,1,7.0000,-5.0000,3.0000
12,workers,2,-3.0000,5.0000,3.0000
12,workers,3,7.0000,5.0000,3.0000
13,general,0,0.0000,0.0000,5.0000
13,nodes,0,-4.9204,-4.9157,3.0000
13,nodes,1,4.9201,-4.9156,3.0000
13,nodes,2,-5.0799,4.9158,3.0000
13,nodes,3,5.0800,4.9158,3.0000
13,scouts,0,-3.2801,-4.8872,3.0000
13,scouts,1,-4.8579,-3.3003,3.0000
13,scouts,2,-6.4655,-4.7851,3.0000
13,scouts,3,-4.8246,-6.3898,3.0000
13,scouts,4,6.4655,-4.7851,3.0000
13,scouts,5,4.8579,-3.3003,3.0000
13,scouts,6,3.2801,-4.8872,3.0000
13,scouts,7,4.8246,-6.3898,3.0000
13,scouts,8,-3.5345,4.7851,3.0000
13,scouts,9,-5.1754,6.3898,3.0000
13,scouts,10,-6.7199,4.8872,3.0000
13,scouts,11,-5.1421,3.3003,3.0000
13,scouts,12,6.7199,4.8872,3.0000
13,scouts,13,5.1754,6.3898,3.0000
13,scouts,14,3.5345,4.7851,3.0000
13,scouts,15,5.1421,3.3003,3.0000
13,workers,0,-3.0000,-5.0000,3.0000
13,workers,1,7.0000,-5.0000,3.0000
13,workers,2,-3.0000,5.0000,3.0000
13,workers,3,7.0000,5.0000,3.0000
14,general,0,0.0000,0.0000,5.0000
14,nodes,0,-4.9132,-4.9081,3.0000
14,nodes,1,4.9129,-4.9080,3.0000
14,nodes,2,-5.0871,4.9081,3.0000
14,nodes,3,5.0872,4.9081,3.0000
14,scouts,0,-3.2571,-4.8753,3.0000
14,scouts,1,-4.8429,-3.2793,3.0000
14,scouts,2,-6.4619,-4.7624,3.0000
14,scouts,3,-4.8061,-6.3781,3.0000
14,scouts,4,6.4618,-4.7624,3.0000
14,scouts,5,4.8429,-3.2793,3.0000
14,scouts,6,3.2571,-4.8753,3.0000
14,scouts,7,4.8061,-6.3781,3.0000
14,scouts,8,-3.5382,4.7624,3.0000
14,scouts,9,-5.1939,6.3781,3.0000
14,scouts,10,-6.7429,4.8753,3.0000
14,scouts,11,-5.1571,3.2793,3.0000
14,scouts,12,6.7429,4.8753,3.0000
14,scouts,13,5.1939,6.3781,3.0000
14,scouts,14,3.5382,4.7624,3.0000
14,scouts,15,5.1571,3.2793,3.0000
14,workers,0,-3.0000,-5.0000,3.0000
14,workers,1,7.0000,-5.0000,3.0000
14,workers,2,-3.0000,5.0000,3.0000
14,workers,3,7.0000,5.0000,3.0000
15,general,0,0.0000,0.0000,5.0000
15,nodes,0,-4.9059,-4.9003,3.0000
15,nodes,1,4.9056,-4.9003,3.0000
15,nodes,2,-5.0943,4.9003,3.0000
15,nodes,3,5.0945,4.9003,3.0000
15,scouts,0,-3.2337,-4.8632,3.0000
15,scouts,1,-4.8277,-3.2580,3.0000
15,scouts,2,-6.4581,-4.7393,3.0000
15,scouts,3,-4.7873,-6.3663,3.0000
15,scouts,4,6.4581,-4.7393,3.0000
15,scouts,5,4.8277,-3.2580,3.0000
15,scouts,6,3.2337,-4.8632,3.0000
15,scouts,7,4.7873,-6.3663,3.0000
15,scouts,8,-3.5419,4.7393,3.0000
15,scouts,9,-5.2127,6.3663,3.0000
15,scouts,10,-6.7663,4.8632,3.0000
15,scouts,11,-5.1723,3.2580,3.0000
15,scouts,12,6.7663,4.8632,3.0000
15,scouts,13,5.2127,6.3663,3.0000
15,scouts,14,3.5419,4.7393,3.0000
15,scouts,15,5.1723,3.2580,3.0000
15,workers,0,-3.0000,-5.0000,3.0000
15,workers,1,7.0000,-5.0000,3.0000
15,workers,2,-3.0000,5.0000,3.0000
15,workers,3,7.0000,5.0000,3.0000
16,general,0,0.0000,0.0000,5.0000
16,nodes,0,-4.8986,-4.8925,3.0000
16,nodes,1,4.8982,-4.8924,3.0000
16,nodes,2,-5.1017,4.8925,3.0000
16,nodes,3,5.1018,4.8925,3.0000
16,scouts,0,-3.2099,-4.8508,3.0000
16,scouts,1,-4.8122,-3.2364,3.0000
16,scouts,2,-6.4543,-4.7158,3.0000
16,scouts,3,-4.7682,-6.3543,3.0000
16,scouts,4,6.4543,-4.7158,3.0000
16,scouts,5,4.8122,-3.2364,3.0000
16,scouts,6,3.2099,-4.8508,3.0000
16,scouts,7,4.7682,-6.3543,3.0000
16,scouts,8,-3.5457,4.7158,3.0000
16,scouts,9,-5.2318,6.3543,3.0000
16,scouts,10,-6.7901,4.8508,3.0000
16,scouts,11,-5.1878,3.2364,3.0000
16,scouts,12,6.7901,4.8508,3.0000
16,scouts,13,5.2318,6.3543,3.0000
16,scouts,14,3.5457,4.7158,3.0000
16,scouts,15,5.1878,3.2364,3.0000
16,workers,0,-3.0000,-5.0000,3.0000
16,workers,1,7.0000,-5.0000,3.0000
16,workers,2,-3.0000,5.0000,3.0000
16,workers,3,7.0000,5.0000,3.0000
17,general,0,0.0000,0.0000,5.0000
17,nodes,0,-4.8911,-4.8845,3.0000
17,nodes,1,4.8908,-4.8845,3.0000
17,nodes,2,-5.1090,4.8846,3.0000
17,nodes,3,5.1092,4.8846,3.0000
17,scouts,0,-3.1859,-4.8384,3.0000
17,scouts,1,-4.7965,-3.2146,3.0000
17,scouts,2,-6.4505,-4.6920,3.0000
